Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
"Universal Containers has limited in-house development resources, but would like to support online payment processing for its products.What is the recommended solution to meet this requirement?",Multiple Choice,No,Yes,No,Yes,2,1,1,"Configure price books, products, and payment schedules to enable this capability.",0,Work with developers to develop custom code for payment processing.,0,Configure Outbound Messaging to send a message to an external Payment Gateway.,0,Install an AppExchange product to provide Payment Gateway processing.,1,,0,,0
"Universal Containers needs to create a roll-up summary field on a custom object that counts the number of related records on another custom object.What type of field must exist before the roll-up summary can be created, and where should it be located?",Multiple Choice,No,Yes,No,Yes,2,1,1,A lookup relationship field on the parent object.,0,A lookup relationship field on the child object.,0,A master-detail relationship field on the parent object.,0,A master-detail relationship field on the child object.,1,,0,,0
"Universal Containers needs to set the record type for a converted lead's Account, Contact, and Opportunity based on the user who is converting the lead.How can this be accomplished?",Multiple Choice,No,Yes,No,Yes,2,1,1,"Set the default record types for each Profile for Account, Contact, and Opportunity to the desired record type for converted records.",1,"Set the default record types for each Role for Account, Contact, and Opportunity to the desired record type for converted records.",0,"Set the master record types for each Profile for Account, Contact, and Opportunity to the desired record type for converted records.",0,"Set the master record types for each Role for Account, Contact, and Opportunity to the desired record type for converted records.",0,,0,,0
Which of these statements is true for Lightning Connect?,Multiple Choice,No,Yes,No,Yes,2,1,1,No external data is imported into your Salesforce org.,0,External data is read in real time when you request it.,0,It can be used with any data source that supports OData 2.0.,0,All of the above.,1,,0,,0
Which of these is NOT an appropriate use case for Lightning Connect?,Multiple Choice,No,Yes,No,Yes,2,1,1,You want to integrate external data without writing custom code.,0,The external data is changing frequently.,0,You need to setup workflows and triggers for the external data.,1,You only need real-time access to a small fraction of the external data.,0,,0,,0
In which of these scenarios is ETL a better choice than Lightning Connect?,Multiple Choice,No,Yes,No,Yes,2,1,1,You need to create or update the external data in addition to reading it.,0,You need the external data to follow the sharing rules defined for your organization.,1,You want to generate reports and charts from the external data.,0,All of the above.,0,,0,,0
Which of these is NOT true about external objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,"They integrate with Salesforce APIs, Apex, Visualforce, and Chatter.",0,They can be related to other objects.,0,You can use them in formula fields.,1,They are automatically viewable in the Salesforce Mobile App.,0,,0,,0
Users can get Salesforce in all of the following ways except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,As a mobile browser app that runs in supported browsers.,0,As a downloadable app from Google Play.,0,As a downloadable app from www.salesforce.com,1,As a downloadable app from the Apple App Store.,0,,0,,0
The Salesforce user interface includes all of these key elements except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Feed,0,Action Bar,0,Navigation Menu,0,Widgets page,1,Record view,0,,0
When should you refresh a sandbox?,Multiple Choice,No,Yes,No,Yes,2,1,1,3 Hours before you need it.,0,When you are finished with the current sandbox.,1,10 Days after an implementation.,0,Anytime.,0,,0,,0
What is true about dashboard filters? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Filters can be added to dashboards that contain Visualforce components.,0,It's not possible to filter on bucket fields.,1,Filters aren't applied when you schedule or e-mail a dashboard.,1,You can't filter data on a joined report in dashboard view or add a filter to a dashboard that only has joined reports.,1,,0,,0
A manager wants to embed charts into his accounts object in one-page layout.How many charts can you embed for him?,Multiple Choice,No,Yes,No,Yes,2,1,1,3,0,2,1,4,0,1,0,,0,,0
What are the two types of packages? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Unmanaged,1,Named,0,Managed,1,Upgraded,0,,0,,0
What should you do when a user requests a report?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Ask follow-up questions, to get all the requirements.",0,Document the user's requirements.,0,Map the user's requirements to report criteria.,0,All of the above.,1,,0,,0
You can control access to report folders based on __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,"Permissions, roles, and public groups.",1,"Public groups, organization-wide defaults, and IP restrictions.",0,"Password settings, permissions, and user settings.",0,All of the above.,0,,0,,0
"When you specify a single running user of a dashboard, that user __________.",Multiple Choice,No,Yes,No,Yes,2,1,1,Is the only one who can post a snapshot of the dashboard to Chatter.,0,"Determines which data is displayed on the dashboard, due to the user's security settings.",1,Must be the same person who created the report.,0,"Must have the ""View All Data"" permission.",0,,0,,0
DRAG DROP -In what order does Salesforce process rules?Match the rules from the left column with their appropriate order in the right column.Select and Place:,Multiple Choice,No,Yes,No,Yes,2,1,1,,0,,0,,0,,0,,0,,0
All of the following are advantages of the Schema Builder except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,All object and field relationship details are available from one screen.,0,"You can view fields and relationships for custom, but not standard objects.",1,"Schema Builder shows details like field values, required fields, and how objects are related.",0,"It's easy to build objects and fields directly from the Schema Builder, allowing you to visualize and change relationships with ease.",0,,0,,0
What should be done to create a custom object from the Schema Builder?,Multiple Choice,No,Yes,No,Yes,2,1,1,"From the Objects tab, select New>Object.",0,"From the Elements tab, drag Object onto the canvas.",1,"Right-click in the canvas and select ""New Object"".",0,,0,,0,,0
What should be done to create a custom field from the Schema Builder?,Multiple Choice,No,Yes,No,Yes,2,1,1,"From the Objects tab, select New>Field.",0,"From the Elements tab, drag a field type onto the canvas.",1,"In the canvas, right-click an object and select ""New Field"".",0,,0,,0,,0
To leverage flows you need to __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Have Run Flows permission enabled.,0,Have access to the Visualforce page the flow uses.,0,The flow must be active.,0,All of the above.,1,,0,,0
Which three statements are true about Master-Detail relationships? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,You can't convert it if there is a roll-up summary field.,1,Converting a look-up to master detail changes the OWD to Controlled by Parent.,1,A look-up can be converted to a master detail if there are existing records with null values.,0,SF displays a waiting page after you request to change a master detail to a look-up or vice versa.,1,,0,,0
What happens when you convert a picklist to a multi-select picklist? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Values are retained.,1,Values not in the picklist are deleted from existing records when the data type changes.,1,Data is lost.,0,You can't convert to a multi-select picklist.,0,,0,,0
"If data is lost, any list view based on the custom field will be deleted, and assignment and escalation rules may be affected.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
"You can convert a Text Area(Long) to E-mail, Phone, Text, Text Area or URL without data loss.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,0,False,1,,0,,0,,0,,0
You cannot change auto number to text and vice versa and not lose your data.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,0,False,1,,0,,0,,0,,0
You can have multiple records with the same external ID.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What is true about a master detail relationship? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"To create multilevel master-detail relationships, you need the ""Customize Application"" user permission.",1,Standard objects can't be on the detail side of a custom object in a master-detail relationship.,1,You can create a master-detail relationship if the custom object already contains data.,0,You can create a relationship as a lookup and then convert it to master-detail if the lookup field in all records contains a value.,1,"By default, records can be reparented master-detail relationships.",0,,0
What is true about Junction objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,Junction object records are deleted when either associated master record is deleted and placed in the Recycle Bin.,0,"If both associated master records are deleted, the junction object record is deleted permanently and can't be restored.",0,The first master-detail relationship you create on your junction object becomes the primary relationship.,0,All of the above.,1,,0,,0
What type of relationships can you create on External Objects? (Choose all that apply.),Multiple Choice,No,Yes,No,Yes,2,3,3,Lookup,1,External lookup,1,Indirect lookup,1,Direct lookup,0,All of the above,0,,0
Indirect lookup relationship fields can be created on external objects only.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What is true about external lookup relationship fields? (Choose all that apply.),Multiple Choice,No,Yes,No,Yes,2,2,2,Lookup filters are available for external lookup relationship fields.,0,Cascade-delete isn't available for external object relationships.,1,Only objects that have a custom field with the External ID and Unique attributes are available as parent objects in indirect lookup relationships.,1,All of the above.,0,,0,,0
Each workflow rule applies to a single object.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What is true for all custom and some standard objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,You can create workflow and approval actions where a change to a detail record updates a field on the related master record.,0,"Cross-object field updates work for custom-to-custom master-detail relationships, custom-to-standard master-detail relationships.",0,Cross-object field updates work for a few standard-to-standard master-detail relationships.,0,All of the above.,1,,0,,0
Workflow rules on custom objects are NOT automatically deleted if the custom object is deleted.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,0,False,1,,0,,0,,0,,0
What order does SF process rules?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Validation rules, assignment rules, workflow rules, auto-response rules, escalation rules.",0,"Validation rules, assignment rules, auto-response rules, workflow rules, escalation rules.",1,"Escalation rules, Validation rules, assignment rules, auto-response rules, workflow rules.",0,"Auto-response rules, Validation rules, assignment rules, workflow rules, escalation rules.",0,,0,,0
What is true about Workflow rules? (Choose all that apply.),Multiple Choice,No,Yes,No,Yes,2,3,3,Saving or creating records can trigger more than one rule.,1,Workflow rules only trigger on converted leads if validation and triggers for lead convert are enabled in your organization.,1,Workflow rules trigger automatically and are visible to the user.,0,"Workflow rules can't be triggered by campaign statistic fields, including individual campaign statistics and campaign hierarchy statistics.",1,,0,,0
What are the limitations of workflow rules?,Multiple Choice,No,Yes,No,Yes,2,1,1,You can't create e-mail alerts for workflow rules on activities.,0,You can't package workflow rules with time triggers.,0,You can't create outbound messages for workflow rules on junction objects.,0,All of the above.,1,,0,,0
What is true about validation rules? (Choose all that apply.),Multiple Choice,No,Yes,No,Yes,2,3,3,"When one validation rule fails, Salesforce continues to check any additional validation rules on that field or any other field on the page and displays all appropriate error messages at once.",1,Campaign hierarchies follow validation rules.,0,"Validation rules are only enforced during lead conversion if ""validation and triggers for lead conversion"" are enabled in your organization.",1,"Salesforce runs validation rules before creating records submitted via Web-to-Lead and Web-to-Case, and only creates records that have valid values.",1,,0,,0
You should use a lookup filter if __________. (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,You want to improve user efficiency by limiting the number of available options in a lookup search dialog.,1,You are close to the maximum number of lookup filters allowed.,0,You want to improve user efficiency by automating filters on lookup search dialogs that your users manually set.,1,"You must implement a complex business rule that requires you to use a formula. Formulas can reference fields that basic filter criteria can't reference, such as fields on the parent of the source object. Formulas can also use functions. For example, use ISNEW if the rule should only apply on record creation, or ISCHANGED if the rule should apply when a field changes.",0,,0,,0
You should use a Validation rule if __________. (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,You want to improve user efficiency by limiting the number of available options in a lookup search dialog.,0,You are close to the maximum number of lookup filters allowed.,1,You want to improve user efficiency by automating filters on lookup search dialogs that your users manually set.,0,"You must implement a complex business rule that requires you to use a formula. Formulas can reference fields that basic filter criteria can't reference, such as fields on the parent of the source object. Formulas can also use functions. For example, use ISNEW if the rule should only apply on record creation, or ISCHANGED if the rule should apply when a field changes.",1,,0,,0
What type of sandbox should you use for full performance and load testing?,Multiple Choice,No,Yes,No,Yes,2,1,1,Developer,0,Partial Copy,0,Full Sandbox,1,Developer Pro,0,,0,,0
What sandbox should you use for data load and integration testing?,Multiple Choice,No,Yes,No,Yes,2,1,1,Developer,0,Partial Copy,0,Full Sandbox,1,Developer Pro,0,,0,,0
"What sandbox is used for virtually any development, testing, or training purpose?",Multiple Choice,No,Yes,No,Yes,2,1,1,Developer,0,Partial Copy,0,Full Sandbox,0,Developer Pro,1,,0,,0
"The sandbox copy engine creates an organization as part of each creation and refresh request. So, the organization ID of your sandbox changes each time your sandbox is refreshed.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What happens to user information when a sandbox is created? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,The sandbox name is appended to the username.,1,"If the resulting username is not unique, a second modification is performed in which some characters and digits are prepended to the modified username.",1,User e-mail addresses are NOT modified in your sandbox so that production users don't receive automatically generated e-mail messages from the sandbox.,0,All of the above.,0,,0,,0
New and refreshed sandboxes have the default e-mail deliverability setting System e-mail only.What are the other options? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,No access,1,System e-mail only,1,All access,0,All e-mail,1,,0,,0
What is true about unmanaged packages?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Once the components are installed from an unmanaged package, the components can be edited in the organization they are installed in.",0,"The developer who created and uploaded the unmanaged package has no control over the installed components, and can't change or upgrade them.",0,"Unmanaged packages should not be used to migrate components from a sandbox to production organization. Instead, use Change Sets.",0,All of the above.,1,,0,,0
What is true about change sets? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Change sets can only contain modifications you can make through the Setup menu.,1,They contain data such as records.,0,Change sets can only be sent between organizations that are affiliated with a production organization.,1,All of the above.,0,,0,,0
What are use cases for Validation Rules?,Multiple Choice,No,Yes,No,Yes,2,1,1,Enforce conditionally required fields,0,Enforce proper data format,0,Enforce consistency,0,Prevent data loss,0,All of the above,1,,0
What are the steps for creating a dynamic approval process?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Create (user) lookup fields on the object being approved, Create a custom object as an approval matrix, Populate the approval matrix record, Create Apex code to populate the user fields from the approval matrix record, Create or update an approval process to utilize the new lookup fields.",1,Create standard object as an approval matrix.,0,Create an approval process.,0,All of the above.,0,,0,,0
"For an external object relationship, you can create a lookup relationship.What type of object(s) can be the parent?",Multiple Choice,No,Yes,No,Yes,2,1,1,External,0,Standard or Custom,1,Standard or External,0,Custom,0,,0,,0
"For an external object relationship, you can create an indirect lookup relationship.What type of object(s) can be the parent?",Multiple Choice,No,Yes,No,Yes,2,1,1,External,0,Standard or Custom,1,Standard or External,0,Custom,0,,0,,0
"A Lightning component is a compact, configurable, and reusable element that you can drag and drop onto a Lightning Page in the Lightning app builder.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What are the standard Lightning components?,Multiple Choice,No,Yes,No,Yes,2,1,1,Filter List,0,Recent Items,0,Report Chart,0,Rich Text,0,Visualforce Page,0,All of the above,1
A lightning Page is __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,"A compact, configurable, and reusable element.",0,A custom layout for creating pages in Salesforce.,1,The new name for a SF page layout.,0,A page you can access via a customer community.,0,,0,,0
What can you build with the Lightning app builder?,Multiple Choice,No,Yes,No,Yes,2,1,1,"At-a-glance, dashboard-style apps.",0,Apps optimized for a particular task.,0,"Simple, single-page apps with drill-down capability.",0,All of the above.,1,,0,,0
Actions on a Lightning Page allow you to __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,"Send e-mail, create a task, and create or update records.",1,Send e-mail and delete or clone records.,0,"Clone records, add users, and assign permissions.",0,"Send e-mail, send outbound messages, and launch a flow.",0,,0,,0
Use the data import wizard when __________. (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"You need to load less than 50,000 records.",1,The objects you need to import are supported by the wizard.,1,"You want to schedule regular data loads, such as nightly imports.",0,You don't need the import process to be automate.,1,,0,,0
Use Data Loader when __________. (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"You need to load 50,000 to five million records. If you need to load more than 5 million records, we recommend you work with a Salesforce partner or visit the AppExchange for a suitable partner product.",1,You don't need the import process to be automated.,0,You need to load into an object that is not supported by the Data Import Wizard.,1,"You want to schedule regular data loads, such as nightly imports.",1,,0,,0
What objects are supported by the Import Wizard?,Multiple Choice,No,Yes,No,Yes,2,1,1,Contacts,0,Leads,0,Accounts,0,Custom objects,0,Solutions,0,All of the above,1
You can export data from Salesforce using any of the following methods except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Use the data Manager tool to manually request an export of all the data in your organization.,1,Use the data Export wizard within SF to export data manually or automatically.,0,Use the data loader client application.,0,Log a case with SF.,0,,0,,0
"When using the Data Export Wizard to manually export data, you can only export data if __________.",Multiple Choice,No,Yes,No,Yes,2,1,1,"Your data doesn't include attachments, images, or documents.",0,You've installed a client application to export the data.,0,Enough time has passed since your last export.,1,You are an Admin.,0,,0,,0
"When scheduling automatic data exporting with the Data Export Wizard, you must specify all of the following except __________.",Multiple Choice,No,Yes,No,Yes,2,1,1,Start and end dates,0,Time of day,0,Number of attachments,1,"Frequency, if your organization supports monthly exports",0,,0,,0
"If any of the triggered workflow rules result in another field update that's also enabled for workflow rule re-evaluation, a domino effect occurs, and more workflow rules can be re-evaluated as a result of the newly-triggered field update.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
Recursive triggers may cause your organization to exceed its limit for workflow time triggers per hour.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
When do you need to refresh a sandbox? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,3 Hours before you need it.,0,When modification have been made to the production organization.,1,Anytime.,0,When you are done making changes to it.,1,,0,,0
Which of the following can you create safely in a production organization?,Multiple Choice,No,Yes,No,Yes,2,1,1,Apex Classes,0,Triggers,0,Custom Apex Controllers for Visualforce Pages,0,Reports and dashboards,1,,0,,0
Which of the following are good ways to track changes in production?,Multiple Choice,No,Yes,No,Yes,2,1,1,Diff the metadata.,0,Use a change log request form.,0,Check the setup audit trail every week.,1,All of the above.,0,,0,,0
"Ideally, who should be in charge of logging all changes in production?",Multiple Choice,No,Yes,No,Yes,2,1,1,Product Manager,0,Administrator,1,QA Engineer,0,Developer,0,,0,,0
"You've developed some new functionality in production, but there are concurrent development projects in a developer sandbox.What's the best way to make sure the changes in production and projects in development are both merged?",Multiple Choice,No,Yes,No,Yes,2,1,1,Simply refresh the developer sandbox.,0,"Copy all of the sandbox metadata to a file system, then refresh the developer sandbox, and finally deploy all the metadata to the developer sandbox.",0,"Create a new sandbox, and then deploy from your developer sandbox to the new sandbox.",1,None of the above.,0,,0,,0
When is it advisable to use a full-copy sandbox?,Multiple Choice,No,Yes,No,Yes,2,1,1,For training users on new features.,1,Staging before final deployment.,0,Performance and load testing.,0,All of the above.,0,,0,,0
You have a team of developers who need logins to sandbox.What's the best way to give them access?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create them as inactive users in production.,1,Have them login as one of the users in production.,0,"Create them as users in sandbox, then deactivate the same number of users in production.",0,Use Developer Edition to log into sandbox.,0,,0,,0
Standard picklist fields can be controlling.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
Universal container has included its orders as an external data object into Salesforce. You want to create a relationship between Accounts and the Orders object(one-to-many relationship) leveraging a key field for account which is on both external object and Account.Which relationship do you create?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lookup Relationship,0,Hierarchical Relationship,0,Master Detail Relationship,0,Indirect Lookup Relationship,1,External Lookup Relationship,0,,0
What can you build with the Lightning Components framework?,Multiple Choice,No,Yes,No,Yes,2,1,1,A standalone app.,0,Components for the Salesforce app.,0,Custom components that override and extend the Salesforce1 app.,0,All of the above.,1,,0,,0
How is the Lightning Component framework different from Visualforce?,Multiple Choice,No,Yes,No,Yes,2,1,1,The framework can be used to build mobile apps only.,0,"The framework is client-side centric, while Visualforce relies on server calls.",1,"They are both useful in building components, but Visualforce has a simpler markup.",0,None of the above.,0,,0,,0
Which of the following descriptions about the Lightning Components framework is true?,Multiple Choice,No,Yes,No,Yes,2,1,1,It uses JavaScript on the client side and Apex on the server side.,0,It uses events to communicate data between components.,0,It uses a stateful client and stateless server architecture.,0,All of the above.,1,,0,,0
What is true regarding person accounts in Salesforce? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,"Person accounts do not have a ""Parent Account"" field.",1,Person accounts do not have the Account Hierarchy feature.,1,Person Accounts can be enabled in setup.,0,Person accounts can have contacts.,0,Leads cannot be converted to Person Accounts.,0,,0
A custom app can include one or more custom tabs.What kind of custom tabs can be included in an application?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lightning Page Tab,0,Visualforce Tab,0,Custom Object Tab,0,All of the Above,1,,0,,0
"Universal Containers are doing a deep analysis on their monthly sales data, and would like the sales revenue split as products sold per country.What would be the ideal report to address this need?",Multiple Choice,No,Yes,No,Yes,2,1,1,Tabular,0,Summar,0,Matric,1,Joined,0,,0,,0
"You are building a project mgmt app. According to the design given to you, a project must store info regarding the various functional modules under it. Each functional module must store info regarding responsibility assigned to each developer. Info about the responsibility must have info about the due date and status.What could be the most optimal model to achieve this?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a Project object then Modules as a child object. Add Tasks to Modules.,1,Create a Project then add Tasks to it. Define Modules as a field on Task.,0,"Create Project, Module, Responsibility as parent, child and grandchild objects.",0,Create Project and Module objects then Responsibility as a junction object.,0,,0,,0
What is not a capability of the lead object? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,"Standard or Custom fields can be mapped to fields in the Account, Contact and Opportunity objects as part of lead conversion.",0,Leads can be grouped into queues.,1,Leads can be automatically assigned to users or queues.,0,"Custom objects that have been related to a lead can be copied when a lead is converted to the account, contact or opportunity.",1,,0,,0
Universal Containers is using SF to manage travel requests. They would like to enable managers to approve travel requests via e-mail.What is true regarding e-mail approval responses?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Approvers must the ""API Enabled"" system permission.",1,Approval Comments cannot be added in the e-mail response.,0,Approvers must click a link in the approval e-mail.,0,"If the request is rejected, the approver must add the rejection comments directly in SF.",0,,0,,0
"You need to ensure that the value in a custom field ""Source Country"" is validated against the standard list of ISO countries that are valid for the particular type of order, when the order is saved.What is the best way to achieve this requirement?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a validation rule using a CASE statement.,0,Create a validation rule using the VLOOKUP function.,1,Create a before trigger and validate the value using APEX code.,0,Create an after trigger and validate the value using APEX code.,0,,0,,0
"When activating a page in the Lightning app builder, what declarative options are available? (Choose three.)",Multiple Choice,No,Yes,No,Yes,2,3,3,Select a tab icon for the page.,1,Select the tab color.,0,Set the tab visibility.,1,Set the tab order in the navigation menu.,1,,0,,0
SF can connect social profiles to all of the following objects except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Leads,0,Person Accounts,0,Business Accounts,0,Contacts,0,Users,1,,0
You need to provide a way to invoke a custom report from the account detail page. The report should render values that are specific to the account in context.What are the best options? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Detail Page Button,1,List Button,0,Detail Page Links,1,Visualforce,0,,0,,0
What external relationship requires a Salesforce ID in the external data?,Multiple Choice,No,Yes,No,Yes,2,1,1,External Lookup,0,Indirect Lookup,0,Lookup,1,Master Detail,0,,0,,0
"For an external object relationship, you can create an external lookup relationship.What type of object(s) can be the parent?",Multiple Choice,No,Yes,No,Yes,2,1,1,External,1,Standard or Custom,0,Standard or External,0,Custom,0,,0,,0
Which of the following sequences of milestones would represent a typical application lifecycle?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Development, Integration Testing, User Acceptance Testing, Staging, Product Migration.",1,"Development, User Acceptance Testing, Production Migration.",0,"Development, Training, User Acceptance Testing, Staging, Production Migration.",0,"Development, Integration Testing, User Acceptance Testing, Regression Testing, Production Migration.",0,,0,,0
Which Social Account features can be accessed from SF1?,Multiple Choice,No,Yes,No,Yes,2,1,1,LinkedIn,0,YouTube,0,Facebook,0,Twitter,1,All of the above,0,,0
"You have a requirement to ensure that if the discount field on an opp is greater than 30%, the record should be automatically submitted for Approval.Which of the following would help you meet this requirement? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,Approval Process,1,Workflow,0,Process Builder,1,Visual Workflow,0,,0,,0
What is not true regarding relating Tasks and Events to other objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,Accounts are associated via the WhatID or AccountID.,0,Leads are associated via the WhoID.,0,Custom Objects are associated via the What ID.,0,Assets are associated via the WhatID.,0,Contacts are associated via the WhatID.,1,,0
Contracts must be approved before the status is set to Finalized.How can this requirement be met?,Multiple Choice,No,Yes,No,Yes,2,1,1,Add a final approval action in the approval process to update a field on the contract and use a validation rule to check this field when the contract status is changed to Finalized.,1,Use a trigger on the contract object to check the contract has been approved when the status is changed.,0,Use Process Builder to check the contract is approved when the contract is edited and the status is set to Finalized.,0,"Add a validation action in the approval process to ensure the status is not set to ""Finalized"" before the contract is approve.",0,,0,,0
What is true regarding changing the field type of a rich text area?,Multiple Choice,No,Yes,No,Yes,2,1,1,It is not possible to change the field type of a rich text area.,0,Rich text area fields can be converted but only to a long text area field type.,1,Images in a rich text area are deleted when the field type is converted.,0,Rich text area fields can be converted to a text area field type but data may be truncate.,0,,0,,0
"Universal Containers provides access to Salesforce for their sales, service and marketing teams. Management wants to ensure that when users log in, their home tab provides access to links and documentation that are specifically relevant to their job function.How can this requirement be met?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create separate home page custom components and layouts; assign to users by role.,0,Create separate home page custom components and layouts; assign to users by profile.,1,Expose specific elements within a home page custom component determined by role.,0,Expose specific elements within a home page custom components determined by profile.,0,,0,,0
Which capability allows an app builder to grant object-level access? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Assigning a user a Profile that allows Read access to an object.,1,Assigning a user a Public Group that allows for Read and Edit access to an object.,0,Assigning a user a Permission Set that allows Read and Edit access to an object.,1,Assigning a user a Role that allows Read access to an object.,0,,0,,0
"Universal containers would like to use a chatter group for their mergers and acquisition team to collaborate on potential new projects. This group should not be visible for non-members to see or join, and can be accessed by invite only.Which chatter Group type should the app builder recommend?",Multiple Choice,No,Yes,No,Yes,2,1,1,Member Group,0,Unlisted Group,1,Public Group,0,Private Group,0,,0,,0
Which statement is true when defining a Create custom action for the Contact object? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,The create action will ignore field requirements.,0,The create action can pre-define Contact field values.,1,The create action allows a user to select a record type.,0,The create action will respect validation rules.,1,,0,,0
Universal Containers allows users to create standard reports on demand.What are two considerations users should be aware of when creating a new report? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Users can require that child objects exist for parent records using a cross filter,0,Records will be available in the report regardless of security permissions,0,Reports created from standard report types are available to all users,1,The report type determines the types of records and fields that will be available,1,,0,,0
An app builder wants to prevent users from creating new records on an account related list by overriding standard buttons.Which two aspects should be considered before overriding standard buttons? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Standard buttons that are NOT available for overrides can still be hidden on page layouts.,1,"Standard buttons can be changed on lookup dialogs, list views, and search result layouts.",0,"Standard buttons can be overridden, relocated on the detail page, and relabeled.",0,Standard button can be overridden with a VF page.,1,,0,,0
What are two reasons to create unmanaged packages? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Deploying from a Developer Edition environment.,1,Publishing an application for sale on the AppExchange.,0,Distributing upgradeable components to other Salesforce orgs,0,Distributing open-source projects on the AppExchange.,1,,0,,0
Universal Containers uses a custom object to track expense reports. They would like to automatically post updates on a record's feed whenever an expense report has been approved.What social feature can be used to accomplish this?,Multiple Choice,No,Yes,No,Yes,2,1,1,Approval process,0,Feed Quick Action,0,Auto-response rule,0,Feed tracking,1,,0,,0
A Manager at Universal Containers has requested that a custom text field be converted to a picklist in order to promote better data hygiene.Which two actions should be considered before changing the field type? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Changing a field type will remove existing field history.,0,Field reference will be removed in Visualforce pages.,0,Existing list views that reference the field may be deleted.,1,All data should be backed up before converting a text field.,1,,0,,0
Which of the following are types of access within an organization? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Object,1,Record,1,Field,1,Administrative,0,User,0,,0
